Timestamp,Action,Price,CA
2025-02-12 03:38:19,SELL,0.00443,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:38:27,SELL,0.00454,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:39:17,BUY,0.00346,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:39:26,SELL,0.00306,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:39:56,SELL,0.00213,7eLz7uTp7NX9PuRvEzV3atQTy3H57Bre78kTcufhvirt
2025-02-12 03:40:05,SELL,0.00025,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:41:53,BUY,0.00025,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:42:24,BUY,0.00044,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:42:30,SELL,0.00017,KFTSxPQxDV1wGjEvzKHWD7mG6e9TsMVq4eF4mQppump
2025-02-12 03:42:36,SELL,1.3747,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y
2025-02-12 03:42:46,BUY,0.00066,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:43:25,BUY,0.00063,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:44:56,SELL,0.00097,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:45:05,SELL,0.00085,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:45:17,SELL,0.00073,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:45:46,BUY,0.00093,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:45:48,BUY,0.00093,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:46:02,BUY,0.00082,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:46:11,BUY,0.00058,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:46:19,BUY,0.0006,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:46:24,BUY,0.00065,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
2025-02-12 03:46:35,SELL,0.00084,2yyddFFf8YRDKTgKkrFPdRpnt8gohrWTPa7kqZYU1VW7
